Time(UTC),Lev RAD (m)
2021-01-10 08:00:00,7.1647642067769555
2021-01-10 09:00:00,7.166119071907573
2021-01-10 10:00:00,7.111858081770023
2021-01-10 11:00:00,7.016123933157427
2021-01-10 12:00:00,6.893059322862906
2021-01-10 13:00:00,6.756806947679592
2021-01-10 14:00:00,6.621509504400601
2021-01-10 15:00:00,6.501309689819058
2021-01-10 16:00:00,6.4103502007280895
2021-01-10 17:00:00,6.362773733920816
2021-01-10 18:00:00,6.372435660983333
2021-01-10 19:00:00,6.449554300471723
2021-01-10 20:00:00,6.58437918199419
2021-01-10 21:00:00,6.7400296814156055
2021-01-10 22:00:00,6.9010470431624
2021-01-10 23:00:00,7.016637993050193
2021-01-11 00:00:00,7.023
2021-01-11 01:00:00,6.9583104719614655
2021-01-11 02:00:00,6.827999999999999
2021-01-11 03:00:00,6.746009131620213
2021-01-11 04:00:00,6.60271359835065
2021-01-11 05:00:00,6.6033557650338155
2021-01-11 06:00:00,6.768
2021-01-11 07:00:00,6.909174781700973
2021-01-11 08:00:00,7.140499999999999
2021-01-11 09:00:00,7.425323736297492
2021-01-11 10:00:00,7.619
2021-01-11 11:00:00,7.706591582766362
2021-01-11 12:00:00,7.6715
2021-01-11 13:00:00,7.525223534934897
2021-01-11 14:00:00,7.2032
2021-01-11 15:00:00,6.893156234667713
2021-01-11 16:00:00,6.653
2021-01-11 17:00:00,6.343264720384102
2021-01-11 18:00:00,6.193
2021-01-11 19:00:00,6.183495035503373
2021-01-11 20:00:00,6.28
2021-01-11 21:00:00,6.477133520826932
2021-01-11 22:00:00,6.777
2021-01-11 23:00:00,6.945104673655098
2021-01-12 00:00:00,7.031
2021-01-12 01:00:00,7.005972861194039
2021-01-12 02:00:00,6.898
2021-01-12 03:00:00,6.805720600733213
2021-01-12 04:00:00,6.624
2021-01-12 05:00:00,6.586592808874332
2021-01-12 06:00:00,6.5665
2021-01-12 07:00:00,6.69260515244059
2021-01-12 08:00:00,6.866
2021-01-12 09:00:00,7.161699317939332
2021-01-12 10:00:00,7.391
2021-01-12 11:00:00,7.6763428147141415
2021-01-12 12:00:00,7.752
2021-01-12 13:00:00,7.75630765025864
2021-01-12 14:00:00,7.49086423775237
2021-01-12 15:00:00,7.201638267008047
2021-01-12 16:00:00,6.844841981780003
2021-01-12 17:00:00,6.484091052790058
2021-01-12 18:00:00,6.204
2021-01-12 19:00:00,6.06781184743757
2021-01-12 20:00:00,6.09
2021-01-12 21:00:00,6.31757343673579
2021-01-12 22:00:00,6.498
2021-01-12 23:00:00,6.785473608968
2021-01-13 00:00:00,7.063621167845912
2021-01-13 01:00:00,7.122147680634987
2021-01-13 02:00:00,7.082333333333334
2021-01-13 03:00:00,7.004867592922845
2021-01-13 04:00:00,6.858247171529911
2021-01-13 05:00:00,6.646557487511254
2021-01-13 06:00:00,6.485
2021-01-13 07:00:00,6.522390835617873
2021-01-13 08:00:00,6.6545414528282425
2021-01-13 09:00:00,6.868474121932701
2021-01-13 10:00:00,7.163243062305871
2021-01-13 11:00:00,7.526898301487947
2021-01-13 12:00:00,7.764
2021-01-13 13:00:00,7.805169645413839
2021-01-13 14:00:00,7.741
2021-01-13 15:00:00,7.504805871453621
2021-01-13 16:00:00,7.12875
2021-01-13 17:00:00,6.700750591298785
2021-01-13 18:00:00,6.342278029733543
2021-01-13 19:00:00,6.118479291178705
2021-01-13 20:00:00,6.029
2021-01-13 21:00:00,6.087268968203136
2021-01-13 22:00:00,6.272
2021-01-13 23:00:00,6.6038205392492895
2021-01-14 00:00:00,6.875241977400613
2021-01-14 01:00:00,6.989173721164508
2021-01-14 02:00:00,6.980760370814731
2021-01-14 03:00:00,6.88709584562838
2021-01-14 04:00:00,6.74527406488255
2021-01-14 05:00:00,6.5923889478543405
2021-01-14 06:00:00,6.46553441382085
2021-01-14 07:00:00,6.401804382059176
2021-01-14 08:00:00,6.43
2021-01-14 09:00:00,6.539241138180111
2021-01-14 10:00:00,6.844
2021-01-14 11:00:00,7.184301091072272
2021-01-14 12:00:00,7.523
2021-01-14 13:00:00,7.71248683262356
2021-01-14 14:00:00,7.76068033902523
2021-01-14 15:00:00,7.683760074082288
2021-01-14 16:00:00,7.398
2021-01-14 17:00:00,7.010335974734742
2021-01-14 18:00:00,6.591308540402378
2021-01-14 19:00:00,6.208443353288778
2021-01-14 20:00:00,5.9895
2021-01-14 21:00:00,5.923456710505715
2021-01-14 22:00:00,6.064
2021-01-14 23:00:00,6.377511230040923
2021-01-15 00:00:00,6.72860476529632
2021-01-15 01:00:00,7.006584949616257
2021-01-15 02:00:00,7.153499999999999
2021-01-15 03:00:00,7.235956243089296
2021-01-15 04:00:00,7.116
2021-01-15 05:00:00,6.907449040953426
2021-01-15 06:00:00,6.612952472310383
2021-01-15 07:00:00,6.440075376251459
2021-01-15 08:00:00,6.345
2021-01-15 09:00:00,6.377643449623659
2021-01-15 10:00:00,6.603333333333333
2021-01-15 11:00:00,6.884638938532245
2021-01-15 12:00:00,7.23
2021-01-15 13:00:00,7.590278084779214
2021-01-15 14:00:00,7.684
2021-01-15 15:00:00,7.704553128094172
2021-01-15 16:00:00,7.498373452082353
2021-01-15 17:00:00,7.222281183585539
2021-01-15 18:00:00,6.791200000000001
2021-01-15 19:00:00,6.409305597972382
2021-01-15 20:00:00,6.028721184607519
2021-01-15 21:00:00,5.948852284632101
2021-01-15 22:00:00,6.0456666666666665
2021-01-15 23:00:00,6.223866932455967
2021-01-16 00:00:00,6.5495
2021-01-16 01:00:00,6.895969248300495
2021-01-16 02:00:00,7.068877780843735
2021-01-16 03:00:00,7.267619635222966
2021-01-16 04:00:00,7.192
2021-01-16 05:00:00,7.0987596994100866
2021-01-16 06:00:00,6.774
2021-01-16 07:00:00,6.634063495452511
2021-01-16 08:00:00,6.409
2021-01-16 09:00:00,6.39036129551658
2021-01-16 10:00:00,6.471
2021-01-16 11:00:00,6.656225331320002
2021-01-16 12:00:00,6.967
2021-01-16 13:00:00,7.283948350990925
2021-01-16 14:00:00,7.570104863366288
2021-01-16 15:00:00,7.6673540031108125
2021-01-16 16:00:00,7.557688604667887
2021-01-16 17:00:00,7.3703873373765445
2021-01-16 18:00:00,7.105
2021-01-16 19:00:00,6.65979981162936
2021-01-16 20:00:00,6.381
2021-01-16 21:00:00,6.121884720044623
2021-01-16 22:00:00,6.03
2021-01-16 23:00:00,6.120119506103289
2021-01-17 00:00:00,6.401
2021-01-17 01:00:00,6.663984295917729
2021-01-17 02:00:00,7.079000000000001
2021-01-17 03:00:00,7.186780439508168
2021-01-17 04:00:00,7.329
2021-01-17 05:00:00,7.2434860013428235
2021-01-17 06:00:00,7.0665
2021-01-17 07:00:00,6.825982287488546
2021-01-17 08:00:00,6.539606227093726
2021-01-17 09:00:00,6.3863943150974345
2021-01-17 10:00:00,6.391
2021-01-17 11:00:00,6.59983760664259
2021-01-17 12:00:00,6.772
2021-01-17 13:00:00,7.0900114826505884
2021-01-17 14:00:00,7.3790000000000004
2021-01-17 15:00:00,7.561912396163214
2021-01-17 16:00:00,7.599666666666667
2021-01-17 17:00:00,7.364989768882795
2021-01-17 18:00:00,7.247399999999999
2021-01-17 19:00:00,6.878435696623219
2021-01-17 20:00:00,6.474
2021-01-17 21:00:00,6.271086056217936
2021-01-17 22:00:00,6.186666666666667
2021-01-17 23:00:00,6.112495630044098
2021-01-18 00:00:00,6.306
2021-01-18 01:00:00,6.6375474314889695
2021-01-18 02:00:00,6.892250000000001
2021-01-18 03:00:00,7.194600432529471
2021-01-18 04:00:00,7.349
2021-01-18 05:00:00,7.405411634840454
2021-01-18 06:00:00,7.235071913464941
2021-01-18 07:00:00,6.978764287185126
2021-01-18 08:00:00,6.7026666666666666
2021-01-18 09:00:00,6.578099286233866
2021-01-18 10:00:00,6.432
2021-01-18 11:00:00,6.414364495320549
2021-01-18 12:00:00,6.560333333333333
2021-01-18 13:00:00,6.851280290430909
2021-01-18 14:00:00,7.119
2021-01-18 15:00:00,7.347929745941005
2021-01-18 16:00:00,7.4323052472475
2021-01-18 17:00:00,7.404973291502123
2021-01-18 18:00:00,7.26
2021-01-18 19:00:00,6.962590707721079
2021-01-18 20:00:00,6.659000000000001
2021-01-18 21:00:00,6.452505813569441
2021-01-18 22:00:00,6.2665
2021-01-18 23:00:00,6.225377129094799
2021-01-19 00:00:00,6.314316903378666
2021-01-19 01:00:00,6.485594163665018
2021-01-19 02:00:00,6.702154937139315
2021-01-19 03:00:00,6.927123104093212
2021-01-19 04:00:00,7.123622544818367
2021-01-19 05:00:00,7.254777139606437
2021-01-19 06:00:00,7.28371076874908
2021-01-19 07:00:00,7.174599722001395
2021-01-19 08:00:00,6.954764856925219
2021-01-19 09:00:00,6.745806592655121
2021-01-19 10:00:00,6.536
2021-01-19 11:00:00,6.532890316489748
2021-01-19 12:00:00,6.567333333333333
2021-01-19 13:00:00,6.717928199877919
2021-01-19 14:00:00,6.932
2021-01-19 15:00:00,7.07196170962429
2021-01-19 16:00:00,7.267
2021-01-19 17:00:00,7.355566778156509
2021-01-19 18:00:00,7.210509565648218
2021-01-19 19:00:00,7.037749815292444
2021-01-19 20:00:00,6.830666666666667
2021-01-19 21:00:00,6.6035180986275135
2021-01-19 22:00:00,6.404
2021-01-19 23:00:00,6.338867034110398
2021-01-20 00:00:00,6.40086470969841
2021-01-20 01:00:00,6.477781473373062
2021-01-20 02:00:00,6.7555
2021-01-20 03:00:00,6.9610563524995746
2021-01-20 04:00:00,7.232666666666667
2021-01-20 05:00:00,7.328548951083251
2021-01-20 06:00:00,7.3485
2021-01-20 07:00:00,7.289551508508436
2021-01-20 08:00:00,7.061
2021-01-20 09:00:00,6.899616356478053
2021-01-20 10:00:00,6.643
2021-01-20 11:00:00,6.589363798352946
2021-01-20 12:00:00,6.561
2021-01-20 13:00:00,6.589520809213534
2021-01-20 14:00:00,6.766
2021-01-20 15:00:00,6.903092653226718
2021-01-20 16:00:00,7.043
2021-01-20 17:00:00,7.146926454631296
2021-01-20 18:00:00,7.118
2021-01-20 19:00:00,7.02542503116824
2021-01-20 20:00:00,6.854567408077425
2021-01-20 21:00:00,6.688272668631681
2021-01-20 22:00:00,6.56025
2021-01-20 23:00:00,6.464381622879847
2021-01-21 00:00:00,6.507307545261212
2021-01-21 01:00:00,6.617935313263244
2021-01-21 02:00:00,6.772293248971429
2021-01-21 03:00:00,6.947803083406401
2021-01-21 04:00:00,7.12188654758879
2021-01-21 05:00:00,7.27155851424069
2021-01-21 06:00:00,7.336
2021-01-21 07:00:00,7.259960764924663
2021-01-21 08:00:00,7.196350994920307
2021-01-21 09:00:00,7.016362493964801
2021-01-21 10:00:00,6.861000000000001
2021-01-21 11:00:00,6.715257833193626
2021-01-21 12:00:00,6.637
2021-01-21 13:00:00,6.638940660898563
2021-01-21 14:00:00,6.6925
2021-01-21 15:00:00,6.77409386638759
2021-01-21 16:00:00,6.856475091541405
2021-01-21 17:00:00,6.973928890081621
2021-01-21 18:00:00,6.965249999999999
2021-01-21 19:00:00,6.942455808936626
2021-01-21 20:00:00,6.838
2021-01-21 21:00:00,6.759166994337748
2021-01-21 22:00:00,6.644
2021-01-21 23:00:00,6.5423109271522275
2021-01-22 00:00:00,6.5440000000000005
2021-01-22 01:00:00,6.51131971923493
2021-01-22 02:00:00,6.6485
2021-01-22 03:00:00,6.796675105472929
2021-01-22 04:00:00,6.918
2021-01-22 05:00:00,7.1411566785797005
2021-01-22 06:00:00,7.239
2021-01-22 07:00:00,7.281280967223722
2021-01-22 08:00:00,7.240377798602082
2021-01-22 09:00:00,7.137516218555969
2021-01-22 10:00:00,7.021333333333334
2021-01-22 11:00:00,6.84169072153532
2021-01-22 12:00:00,6.78
2021-01-22 13:00:00,6.721315527837205
2021-01-22 14:00:00,6.6745
2021-01-22 15:00:00,6.7189782951530095
2021-01-22 16:00:00,6.757
2021-01-22 17:00:00,6.8129835198048205
2021-01-22 18:00:00,6.859999999999999
2021-01-22 19:00:00,6.866134067933502
2021-01-22 20:00:00,6.829310432837075
2021-01-22 21:00:00,6.809239341268286
2021-01-22 22:00:00,6.723
2021-01-22 23:00:00,6.688658097798751
2021-01-23 00:00:00,6.67
2021-01-23 01:00:00,6.630872906529915
2021-01-23 02:00:00,6.6635
2021-01-23 03:00:00,6.757906313252164
2021-01-23 04:00:00,6.882033012149417
2021-01-23 05:00:00,7.036788623977556
2021-01-23 06:00:00,7.148333333333333
2021-01-23 07:00:00,7.278075423042871
2021-01-23 08:00:00,7.253
2021-01-23 09:00:00,7.283518153399339
2021-01-23 10:00:00,7.184
2021-01-23 11:00:00,7.0831130152938515
2021-01-23 12:00:00,6.951
2021-01-23 13:00:00,6.871063384653761
2021-01-23 14:00:00,6.772
2021-01-23 15:00:00,6.66121598271055
2021-01-23 16:00:00,6.601
2021-01-23 17:00:00,6.608518014397653
2021-01-23 18:00:00,6.6995000000000005
2021-01-23 19:00:00,6.703097268611471
2021-01-23 20:00:00,6.762
2021-01-23 21:00:00,6.816486517805871
2021-01-23 22:00:00,6.789
2021-01-23 23:00:00,6.777395472149925
2021-01-24 00:00:00,6.765
2021-01-24 01:00:00,6.693683041107483
2021-01-24 02:00:00,6.678
2021-01-24 03:00:00,6.73494972916375
2021-01-24 04:00:00,6.779
2021-01-24 05:00:00,6.902615920470466
2021-01-24 06:00:00,6.985721988121518
2021-01-24 07:00:00,7.109695600316878
2021-01-24 08:00:00,7.166250000000001
2021-01-24 09:00:00,7.254526943231584
2021-01-24 10:00:00,7.263999999999999
2021-01-24 11:00:00,7.217453351640771
2021-01-24 12:00:00,7.041
2021-01-24 13:00:00,6.962461271448296
2021-01-24 14:00:00,6.81975
2021-01-24 15:00:00,6.682810533047814
2021-01-24 16:00:00,6.554
2021-01-24 17:00:00,6.491016010065414
2021-01-24 18:00:00,6.505
2021-01-24 19:00:00,6.559856943550629
2021-01-24 20:00:00,6.634499999999999
2021-01-24 21:00:00,6.706672925301964
2021-01-24 22:00:00,6.729427273209847
2021-01-24 23:00:00,6.830358513247471
2021-01-25 00:00:00,6.864666666666667
2021-01-25 01:00:00,6.755432046863473
2021-01-25 02:00:00,6.7965
2021-01-25 03:00:00,6.733336741085113
2021-01-25 04:00:00,6.7235
2021-01-25 05:00:00,6.810206346808968
2021-01-25 06:00:00,6.866667752750061
2021-01-25 07:00:00,6.93976199040466
2021-01-25 08:00:00,7.085
2021-01-25 09:00:00,7.223512446998034
2021-01-25 10:00:00,7.317995628467914
2021-01-25 11:00:00,7.363782235995404
2021-01-25 12:00:00,7.344
2021-01-25 13:00:00,7.219015861151357
2021-01-25 14:00:00,6.939666666666667
2021-01-25 15:00:00,6.8236783501195735
2021-01-25 16:00:00,6.635
2021-01-25 17:00:00,6.4026852452242995
2021-01-25 18:00:00,6.4155
2021-01-25 19:00:00,6.427703427955267
2021-01-25 20:00:00,6.440418424451211
2021-01-25 21:00:00,6.57102875747886
2021-01-25 22:00:00,6.7465
2021-01-25 23:00:00,6.86936080733214
2021-01-26 00:00:00,6.791
2021-01-26 01:00:00,6.908517616401839
2021-01-26 02:00:00,6.8
2021-01-26 03:00:00,6.802445954784763
2021-01-26 04:00:00,6.666
2021-01-26 05:00:00,6.751740218800511
2021-01-26 06:00:00,6.78
2021-01-26 07:00:00,6.838183670082009
2021-01-26 08:00:00,6.98175
2021-01-26 09:00:00,7.15277363312448
2021-01-26 10:00:00,7.394
2021-01-26 11:00:00,7.424899907445126
2021-01-26 12:00:00,7.49
2021-01-26 13:00:00,7.424735998698335
2021-01-26 14:00:00,7.244999999999999
2021-01-26 15:00:00,6.9937124313030905
2021-01-26 16:00:00,6.812
2021-01-26 17:00:00,6.552641310522145
2021-01-26 18:00:00,6.3774999999999995
2021-01-26 19:00:00,6.320746300297417
2021-01-26 20:00:00,6.370666666666668
2021-01-26 21:00:00,6.513217740678835
2021-01-26 22:00:00,6.699867285016407
2021-01-26 23:00:00,6.878254693055112
2021-01-27 00:00:00,7.02474936252747
2021-01-27 01:00:00,7.054229019432686
2021-01-27 02:00:00,6.998
2021-01-27 03:00:00,6.951393667200559
2021-01-27 04:00:00,6.827
2021-01-27 05:00:00,6.7071644124106635
2021-01-27 06:00:00,6.68
2021-01-27 07:00:00,6.761994387444948
2021-01-27 08:00:00,6.778979001219101
2021-01-27 09:00:00,6.9394012126849525
2021-01-27 10:00:00,7.25
2021-01-27 11:00:00,7.512681531438935
2021-01-27 12:00:00,7.547
2021-01-27 13:00:00,7.596793947638402
2021-01-27 14:00:00,7.428000000000001
2021-01-27 15:00:00,7.2120239370420975
2021-01-27 16:00:00,6.9544999999999995
2021-01-27 17:00:00,6.619536443675219
2021-01-27 18:00:00,6.41
2021-01-27 19:00:00,6.2713904551893025
2021-01-27 20:00:00,6.295549005510203
2021-01-27 21:00:00,6.392898785167842
2021-01-27 22:00:00,6.618
2021-01-27 23:00:00,6.829479428889096
2021-01-28 00:00:00,7.02
2021-01-28 01:00:00,7.105087579265884
2021-01-28 02:00:00,7.163752161260646
2021-01-28 03:00:00,7.065762616234582
2021-01-28 04:00:00,6.842
2021-01-28 05:00:00,6.748809842311004
2021-01-28 06:00:00,6.659
2021-01-28 07:00:00,6.599871105810349
2021-01-28 08:00:00,6.725
2021-01-28 09:00:00,6.901435287356976
2021-01-28 10:00:00,7.198
2021-01-28 11:00:00,7.4682913890426805
2021-01-28 12:00:00,7.644
2021-01-28 13:00:00,7.675542711332617
2021-01-28 14:00:00,7.609500000000001
2021-01-28 15:00:00,7.442302920400835
2021-01-28 16:00:00,7.11307666964495
2021-01-28 17:00:00,6.811687907720502
2021-01-28 18:00:00,6.451333333333333
2021-01-28 19:00:00,6.254312694905598
2021-01-28 20:00:00,6.192162981809448
2021-01-28 21:00:00,6.2440367418564815
2021-01-28 22:00:00,6.457
2021-01-28 23:00:00,6.734081880174932
2021-01-29 00:00:00,6.969
2021-01-29 01:00:00,7.191347143604296
2021-01-29 02:00:00,7.248
2021-01-29 03:00:00,7.181265235115713
2021-01-29 04:00:00,7.040864428178876
2021-01-29 05:00:00,6.861371370891597
2021-01-29 06:00:00,6.6754999999999995
2021-01-29 07:00:00,6.59509485624861
2021-01-29 08:00:00,6.631
2021-01-29 09:00:00,6.780522870493267
2021-01-29 10:00:00,7.06
2021-01-29 11:00:00,7.280795040108668
2021-01-29 12:00:00,7.625
2021-01-29 13:00:00,7.735474610504039
2021-01-29 14:00:00,7.882307285322493
2021-01-29 15:00:00,7.701615126977243
2021-01-29 16:00:00,7.385648007719022
2021-01-29 17:00:00,7.018983179999876
2021-01-29 18:00:00,6.650874358948876
2021-01-29 19:00:00,6.361025631853429
2021-01-29 20:00:00,6.1945
2021-01-29 21:00:00,6.194242089312718
